instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Time
30,2011-01-02,springer,2011,January,06:00:00,0,Sunday,0,3,11.183673469387752,11.997200000000003,77.0,0.2985,0,2,2,Morning
31,2011-01-02,springer,2011,January,07:00:00,0,Sunday,0,2,10.224489795918366,11.000600000000002,76.0,0.194,0,1,1,Morning
32,2011-01-02,springer,2011,January,08:00:00,0,Sunday,0,3,10.224489795918366,11.000600000000002,71.0,0.2239,0,8,8,Morning
33,2011-01-02,springer,2011,January,09:00:00,0,Sunday,0,2,9.26530612244898,9.997399999999999,76.0,0.2239,1,19,20,Morning
34,2011-01-02,springer,2011,January,10:00:00,0,Sunday,0,2,8.306122448979593,7.000999999999998,81.0,0.2239,7,46,53,Morning
35,2011-01-02,springer,2011,January,11:00:00,0,Sunday,0,2,8.306122448979593,5.997799999999998,71.0,0.2537,16,54,70,Day
36,2011-01-02,springer,2011,January,12:00:00,0,Sunday,0,2,8.306122448979593,5.997799999999998,66.0,0.2985,20,73,93,Day
37,2011-01-02,springer,2011,January,13:00:00,0,Sunday,0,2,8.306122448979593,7.000999999999998,66.0,0.1343,11,64,75,Day
38,2011-01-02,springer,2011,January,14:00:00,0,Sunday,0,3,8.306122448979593,7.000999999999998,76.0,0.194,4,55,59,Day
39,2011-01-02,springer,2011,January,15:00:00,0,Sunday,0,3,7.346938775510205,5.997799999999998,81.0,0.1642,19,55,74,Day
40,2011-01-02,springer,2011,January,16:00:00,0,Sunday,0,3,7.346938775510205,5.997799999999998,71.0,0.1642,9,67,76,Afternoon
41,2011-01-02,springer,2011,January,17:00:00,0,Sunday,0,1,7.346938775510205,5.997799999999998,56.99999999999999,0.194,7,58,65,Afternoon
42,2011-01-02,springer,2011,January,18:00:00,0,Sunday,0,2,8.306122448979593,5.997799999999998,46.0,0.3284,10,43,53,Afternoon
43,2011-01-02,springer,2011,January,19:00:00,0,Sunday,0,1,6.387755102040817,3.0014000000000003,42.0,0.4478,1,29,30,Evening
44,2011-01-02,springer,2011,January,20:00:00,0,Sunday,0,1,5.428571428571427,1.9982000000000006,39.0,0.3582,5,17,22,Evening
45,2011-01-02,springer,2011,January,21:00:00,0,Sunday,0,1,3.5102040816326543,-0.9982000000000006,44.0,0.3284,11,20,31,Evening
46,2011-01-02,springer,2011,January,22:00:00,0,Sunday,0,1,2.551020408163266,-2.0013999999999985,44.0,0.2985,0,9,9,Evening
47,2011-01-02,springer,2011,January,23:00:00,0,Sunday,0,1,1.591836734693878,-0.9982000000000006,47.0,0.1642,0,8,8,Evening
48,2011-01-03,springer,2011,January,00:00:00,0,Monday,1,1,1.591836734693878,-2.9979999999999993,44.0,0.3582,0,5,5,Evening
49,2011-01-03,springer,2011,January,01:00:00,0,Monday,1,1,0.6326530612244916,-4.997800000000002,44.0,0.4179,0,2,2,Evening
50,2011-01-03,springer,2011,January,04:00:00,0,Monday,1,1,-1.2857142857142847,-6.9976,47.0,0.3881,0,1,1,Morning
51,2011-01-03,springer,2011,January,05:00:00,0,Monday,1,1,-1.2857142857142847,-6.9976,47.0,0.2836,0,3,3,Morning
52,2011-01-03,springer,2011,January,06:00:00,0,Monday,1,1,-2.244897959183673,-8.997399999999999,50.0,0.3881,0,30,30,Morning
53,2011-01-03,springer,2011,January,07:00:00,0,Monday,1,1,-2.244897959183673,-6.9976,50.0,0.194,1,63,64,Morning
54,2011-01-03,springer,2011,January,08:00:00,0,Monday,1,1,-2.244897959183673,-8.0008,50.0,0.2836,1,153,154,Morning
55,2011-01-03,springer,2011,January,09:00:00,0,Monday,1,1,-1.2857142857142847,-6.9976,43.0,0.3881,7,81,88,Morning
56,2011-01-03,springer,2011,January,10:00:00,0,Monday,1,1,-0.32653061224489743,-4.997800000000002,43.0,0.2537,11,33,44,Morning
57,2011-01-03,springer,2011,January,11:00:00,0,Monday,1,1,0.6326530612244916,-4.001200000000001,40.0,0.3284,10,41,51,Day
58,2011-01-03,springer,2011,January,12:00:00,0,Monday,1,1,1.591836734693878,-2.0013999999999985,35.0,0.2985,13,48,61,Day
59,2011-01-03,springer,2011,January,13:00:00,0,Monday,1,1,2.551020408163266,-2.0013999999999985,35.0,0.2836,8,53,61,Day
60,2011-01-03,springer,2011,January,14:00:00,0,Monday,1,1,3.5102040816326543,-0.0015999999999998238,30.0,0.2836,11,66,77,Day
61,2011-01-03,springer,2011,January,15:00:00,0,Monday,1,1,3.5102040816326543,-0.0015999999999998238,30.0,0.2537,14,58,72,Day
62,2011-01-03,springer,2011,January,16:00:00,0,Monday,1,1,3.5102040816326543,-0.0015999999999998238,30.0,0.2537,9,67,76,Afternoon
63,2011-01-03,springer,2011,January,17:00:00,0,Monday,1,1,2.551020408163266,-0.9982000000000006,30.0,0.2239,11,146,157,Afternoon
64,2011-01-03,springer,2011,January,18:00:00,0,Monday,1,1,2.551020408163266,1.0015999999999998,32.0,0.1045,9,148,157,Afternoon
65,2011-01-03,springer,2011,January,19:00:00,0,Monday,1,1,0.6326530612244916,1.0015999999999998,47.0,0.0,8,102,110,Evening
66,2011-01-03,springer,2011,January,20:00:00,0,Monday,1,1,0.6326530612244916,-0.9982000000000006,47.0,0.1045,3,49,52,Evening
67,2011-01-03,springer,2011,January,21:00:00,0,Monday,1,1,-0.32653061224489743,-2.9979999999999993,64.0,0.1343,3,49,52,Evening
68,2011-01-03,springer,2011,January,22:00:00,0,Monday,1,1,-2.244897959183673,-6.0009999999999994,69.0,0.1343,0,20,20,Evening
69,2011-01-03,springer,2011,January,23:00:00,0,Monday,1,1,-0.32653061224489743,-2.0013999999999985,55.00000000000001,0.1045,1,11,12,Evening
70,2011-01-04,springer,2011,January,00:00:00,0,Tuesday,1,1,-1.2857142857142847,-4.001200000000001,55.00000000000001,0.1045,0,5,5,Evening
71,2011-01-04,springer,2011,January,01:00:00,0,Tuesday,1,1,-1.2857142857142847,-4.001200000000001,59.0,0.1045,0,2,2,Evening
72,2011-01-04,springer,2011,January,02:00:00,0,Tuesday,1,1,-2.244897959183673,-6.0009999999999994,63.0,0.1343,0,1,1,Evening
73,2011-01-04,springer,2011,January,04:00:00,0,Tuesday,1,1,-2.244897959183673,-4.001200000000001,63.0,0.0896,0,2,2,Morning
74,2011-01-04,springer,2011,January,05:00:00,0,Tuesday,1,1,-3.204081632653062,-6.0009999999999994,68.0,0.1045,0,4,4,Morning
75,2011-01-04,springer,2011,January,06:00:00,0,Tuesday,1,1,-3.204081632653062,-6.0009999999999994,74.0,0.1045,0,36,36,Morning
76,2011-01-04,springer,2011,January,07:00:00,0,Tuesday,1,1,-3.204081632653062,-6.0009999999999994,74.0,0.1343,2,92,94,Morning
77,2011-01-04,springer,2011,January,08:00:00,0,Tuesday,1,1,-2.244897959183673,-6.0009999999999994,69.0,0.1642,2,177,179,Morning
78,2011-01-04,springer,2011,January,09:00:00,0,Tuesday,1,1,-1.2857142857142847,-6.0009999999999994,64.0,0.2239,2,98,100,Morning
79,2011-01-04,springer,2011,January,10:00:00,0,Tuesday,1,2,-1.2857142857142847,-6.9976,69.0,0.3284,5,37,42,Morning
80,2011-01-04,springer,2011,January,11:00:00,0,Tuesday,1,1,1.591836734693878,-2.0013999999999985,51.0,0.2985,7,50,57,Day
81,2011-01-04,springer,2011,January,12:00:00,0,Tuesday,1,1,1.591836734693878,-0.9982000000000006,51.0,0.1642,12,66,78,Day
82,2011-01-04,springer,2011,January,13:00:00,0,Tuesday,1,1,2.551020408163266,-0.9982000000000006,56.00000000000001,0.194,18,79,97,Day
83,2011-01-04,springer,2011,January,14:00:00,0,Tuesday,1,1,3.5102040816326543,1.0015999999999998,52.0,0.2239,9,54,63,Day
84,2011-01-04,springer,2011,January,15:00:00,0,Tuesday,1,1,4.4693877551020424,1.9982000000000006,52.0,0.2537,17,48,65,Day
85,2011-01-04,springer,2011,January,16:00:00,0,Tuesday,1,1,5.428571428571427,3.0014000000000003,49.0,0.2537,15,68,83,Afternoon
86,2011-01-04,springer,2011,January,17:00:00,0,Tuesday,1,1,4.4693877551020424,1.9982000000000006,48.0,0.2239,10,202,212,Afternoon
87,2011-01-04,springer,2011,January,18:00:00,0,Tuesday,1,1,3.5102040816326543,1.0015999999999998,48.0,0.194,3,179,182,Afternoon
88,2011-01-04,springer,2011,January,19:00:00,0,Tuesday,1,1,2.551020408163266,1.0015999999999998,48.0,0.1045,2,110,112,Evening
89,2011-01-04,springer,2011,January,20:00:00,0,Tuesday,1,1,2.551020408163266,1.0015999999999998,48.0,0.1045,1,53,54,Evening
90,2011-01-04,springer,2011,January,21:00:00,0,Tuesday,1,1,1.591836734693878,1.9982000000000006,64.0,0.0,0,48,48,Evening
91,2011-01-04,springer,2011,January,22:00:00,0,Tuesday,1,1,1.591836734693878,1.0015999999999998,64.0,0.0896,1,34,35,Evening
92,2011-01-04,springer,2011,January,23:00:00,0,Tuesday,1,1,0.6326530612244916,-0.9982000000000006,69.0,0.0896,2,9,11,Evening
93,2011-01-05,springer,2011,January,00:00:00,0,Wednesday,1,1,0.6326530612244916,1.0015999999999998,64.0,0.0,0,6,6,Evening
94,2011-01-05,springer,2011,January,01:00:00,0,Wednesday,1,1,-1.2857142857142847,-2.9979999999999993,74.0,0.0896,0,6,6,Evening
95,2011-01-05,springer,2011,January,02:00:00,0,Wednesday,1,1,-1.2857142857142847,-2.9979999999999993,74.0,0.0896,0,2,2,Evening
96,2011-01-05,springer,2011,January,04:00:00,0,Wednesday,1,1,2.551020408163266,-0.9982000000000006,48.0,0.2239,0,2,2,Morning
97,2011-01-05,springer,2011,January,05:00:00,0,Wednesday,1,1,1.591836734693878,-0.9982000000000006,47.0,0.1642,0,3,3,Morning
98,2011-01-05,springer,2011,January,06:00:00,0,Wednesday,1,1,0.6326530612244916,-2.9979999999999993,47.0,0.2239,0,33,33,Morning
99,2011-01-05,springer,2011,January,07:00:00,0,Wednesday,1,1,-0.32653061224489743,-4.001200000000001,43.0,0.194,1,87,88,Morning
100,2011-01-05,springer,2011,January,08:00:00,0,Wednesday,1,1,0.6326530612244916,-4.001200000000001,40.0,0.2985,3,192,195,Morning
101,2011-01-05,springer,2011,January,09:00:00,0,Wednesday,1,1,1.591836734693878,-2.9979999999999993,37.0,0.3284,6,109,115,Morning
102,2011-01-05,springer,2011,January,10:00:00,0,Wednesday,1,1,1.591836734693878,-2.9979999999999993,37.0,0.3284,4,53,57,Morning
103,2011-01-05,springer,2011,January,11:00:00,0,Wednesday,1,1,3.5102040816326543,-0.9982000000000006,33.0,0.3284,12,34,46,Day
104,2011-01-05,springer,2011,January,12:00:00,0,Wednesday,1,1,3.5102040816326543,-0.9982000000000006,33.0,0.3284,5,74,79,Day
105,2011-01-05,springer,2011,January,13:00:00,0,Wednesday,1,1,4.4693877551020424,1.0015999999999998,30.0,0.2985,6,65,71,Day
106,2011-01-05,springer,2011,January,14:00:00,0,Wednesday,1,1,5.428571428571427,3.0014000000000003,28.000000000000004,0.194,10,52,62,Day
107,2011-01-05,springer,2011,January,15:00:00,0,Wednesday,1,1,5.428571428571427,3.0014000000000003,28.000000000000004,0.194,7,55,62,Day
108,2011-01-05,springer,2011,January,16:00:00,0,Wednesday,1,1,5.428571428571427,5.001199999999997,28.000000000000004,0.0896,4,85,89,Afternoon
109,2011-01-05,springer,2011,January,17:00:00,0,Wednesday,1,1,2.551020408163266,-0.9982000000000006,38.0,0.194,4,186,190,Afternoon
110,2011-01-05,springer,2011,January,18:00:00,0,Wednesday,1,1,2.551020408163266,-0.0015999999999998238,38.0,0.1343,3,166,169,Afternoon
111,2011-01-05,springer,2011,January,19:00:00,0,Wednesday,1,1,2.551020408163266,1.0015999999999998,38.0,0.1045,5,127,132,Evening
112,2011-01-05,springer,2011,January,20:00:00,0,Wednesday,1,1,1.591836734693878,-0.9982000000000006,47.0,0.1642,7,82,89,Evening
113,2011-01-05,springer,2011,January,21:00:00,0,Wednesday,1,1,0.6326530612244916,-2.9979999999999993,51.0,0.194,3,40,43,Evening
114,2011-01-05,springer,2011,January,22:00:00,0,Wednesday,1,1,-0.32653061224489743,-2.9979999999999993,55.00000000000001,0.1343,1,41,42,Evening
115,2011-01-05,springer,2011,January,23:00:00,0,Wednesday,1,1,0.6326530612244916,1.0015999999999998,47.0,0.0,1,18,19,Evening
116,2011-01-06,springer,2011,January,00:00:00,0,Thursday,1,1,-0.32653061224489743,-0.0015999999999998238,55.00000000000001,0.0,0,11,11,Evening
117,2011-01-06,springer,2011,January,01:00:00,0,Thursday,1,1,-1.2857142857142847,-0.9982000000000006,64.0,0.0,0,4,4,Evening
118,2011-01-06,springer,2011,January,02:00:00,0,Thursday,1,1,-1.2857142857142847,-0.9982000000000006,64.0,0.0,0,2,2,Evening
119,2011-01-06,springer,2011,January,04:00:00,0,Thursday,1,2,-1.2857142857142847,-2.9979999999999993,64.0,0.0896,0,1,1,Morning
120,2011-01-06,springer,2011,January,05:00:00,0,Thursday,1,2,-2.244897959183673,-4.001200000000001,69.0,0.0896,0,4,4,Morning
121,2011-01-06,springer,2011,January,06:00:00,0,Thursday,1,2,-2.244897959183673,-4.997800000000002,63.0,0.1045,0,36,36,Morning
122,2011-01-06,springer,2011,January,07:00:00,0,Thursday,1,2,-1.2857142857142847,-0.9982000000000006,59.0,0.0,0,95,95,Morning
123,2011-01-06,springer,2011,January,08:00:00,0,Thursday,1,1,-1.2857142857142847,-0.9982000000000006,59.0,0.0,3,216,219,Morning
124,2011-01-06,springer,2011,January,09:00:00,0,Thursday,1,2,-0.32653061224489743,-0.0015999999999998238,51.0,0.0,6,116,122,Morning
125,2011-01-06,springer,2011,January,10:00:00,0,Thursday,1,1,0.6326530612244916,1.0015999999999998,47.0,0.0,3,42,45,Morning
126,2011-01-06,springer,2011,January,11:00:00,0,Thursday,1,1,1.591836734693878,1.0015999999999998,44.0,0.0896,2,57,59,Day
127,2011-01-06,springer,2011,January,12:00:00,0,Thursday,1,1,3.5102040816326543,3.0014000000000003,35.0,0.0,6,78,84,Day
128,2011-01-06,springer,2011,January,13:00:00,0,Thursday,1,1,3.5102040816326543,1.9982000000000006,35.0,0.1045,12,55,67,Day
129,2011-01-06,springer,2011,January,14:00:00,0,Thursday,1,1,4.4693877551020424,1.9982000000000006,36.0,0.1642,11,59,70,Day
130,2011-01-06,springer,2011,January,15:00:00,0,Thursday,1,1,4.4693877551020424,1.9982000000000006,36.0,0.0,8,54,62,Day
131,2011-01-06,springer,2011,January,16:00:00,0,Thursday,1,1,3.5102040816326543,1.0015999999999998,38.0,0.1642,12,74,86,Afternoon
132,2011-01-06,springer,2011,January,17:00:00,0,Thursday,1,1,1.591836734693878,-0.9982000000000006,51.0,0.1642,9,163,172,Afternoon
133,2011-01-06,springer,2011,January,18:00:00,0,Thursday,1,1,1.591836734693878,-0.9982000000000006,51.0,0.1343,5,158,163,Afternoon
134,2011-01-06,springer,2011,January,19:00:00,0,Thursday,1,1,1.591836734693878,1.0015999999999998,55.00000000000001,0.0896,3,109,112,Evening
135,2011-01-06,springer,2011,January,20:00:00,0,Thursday,1,1,0.6326530612244916,-2.0013999999999985,51.0,0.1642,3,66,69,Evening
136,2011-01-06,springer,2011,January,21:00:00,0,Thursday,1,2,1.591836734693878,-2.0013999999999985,55.00000000000001,0.2239,0,48,48,Evening
137,2011-01-06,springer,2011,January,22:00:00,0,Thursday,1,2,1.591836734693878,-2.0013999999999985,51.0,0.2836,1,51,52,Evening
138,2011-01-06,springer,2011,January,23:00:00,0,Thursday,1,2,0.6326530612244916,-2.9979999999999993,59.0,0.194,4,19,23,Evening
139,2011-01-07,springer,2011,January,00:00:00,0,Friday,1,2,0.6326530612244916,-2.9979999999999993,64.0,0.194,4,13,17,Evening
140,2011-01-07,springer,2011,January,01:00:00,0,Friday,1,2,0.6326530612244916,-2.9979999999999993,69.0,0.2239,2,5,7,Evening
141,2011-01-07,springer,2011,January,02:00:00,0,Friday,1,2,0.6326530612244916,-2.9979999999999993,69.0,0.2239,0,1,1,Evening
142,2011-01-07,springer,2011,January,04:00:00,0,Friday,1,2,0.6326530612244916,-2.0013999999999985,69.0,0.1343,0,1,1,Morning
143,2011-01-07,springer,2011,January,05:00:00,0,Friday,1,3,1.591836734693878,1.9982000000000006,55.00000000000001,0.0,0,5,5,Morning
144,2011-01-07,springer,2011,January,06:00:00,0,Friday,1,2,0.6326530612244916,1.0015999999999998,69.0,0.0,8,26,34,Morning
145,2011-01-07,springer,2011,January,07:00:00,0,Friday,1,1,0.6326530612244916,-2.0013999999999985,69.0,0.1343,8,76,84,Morning
146,2011-01-07,springer,2011,January,08:00:00,0,Friday,1,1,0.6326530612244916,-2.9979999999999993,51.0,0.2537,20,190,210,Morning
147,2011-01-07,springer,2011,January,09:00:00,0,Friday,1,1,0.6326530612244916,-4.001200000000001,47.0,0.2985,9,125,134,Morning
148,2011-01-07,springer,2011,January,10:00:00,0,Friday,1,1,1.591836734693878,-2.9979999999999993,37.0,0.3284,16,47,63,Morning
149,2011-01-07,springer,2011,January,11:00:00,0,Friday,1,2,0.6326530612244916,-2.9979999999999993,40.0,0.2239,19,48,67,Day
150,2011-01-07,springer,2011,January,12:00:00,0,Friday,1,2,0.6326530612244916,-2.9979999999999993,37.0,0.2537,9,50,59,Day
151,2011-01-07,springer,2011,January,13:00:00,0,Friday,1,2,0.6326530612244916,-4.001200000000001,37.0,0.2836,9,64,73,Day
152,2011-01-07,springer,2011,January,14:00:00,0,Friday,1,2,0.6326530612244916,-2.9979999999999993,40.0,0.2537,7,43,50,Day
153,2011-01-07,springer,2011,January,15:00:00,0,Friday,1,2,0.6326530612244916,-2.0013999999999985,37.0,0.1642,9,63,72,Day
154,2011-01-07,springer,2011,January,16:00:00,0,Friday,1,2,0.6326530612244916,-2.0013999999999985,37.0,0.1642,5,82,87,Afternoon
155,2011-01-07,springer,2011,January,17:00:00,0,Friday,1,2,0.6326530612244916,1.0015999999999998,37.0,0.0,9,178,187,Afternoon
156,2011-01-07,springer,2011,January,18:00:00,0,Friday,1,1,0.6326530612244916,-0.9982000000000006,40.0,0.0896,7,116,123,Afternoon
157,2011-01-07,springer,2011,January,19:00:00,0,Friday,1,1,-1.2857142857142847,-2.9979999999999993,55.00000000000001,0.0896,3,92,95,Evening
158,2011-01-07,springer,2011,January,20:00:00,0,Friday,1,1,-0.32653061224489743,-2.0013999999999985,47.0,0.1045,1,50,51,Evening
159,2011-01-07,springer,2011,January,21:00:00,0,Friday,1,1,-0.32653061224489743,-2.9979999999999993,47.0,0.1343,0,39,39,Evening
160,2011-01-07,springer,2011,January,22:00:00,0,Friday,1,2,-0.32653061224489743,-2.9979999999999993,43.0,0.1642,2,34,36,Evening
161,2011-01-07,springer,2011,January,23:00:00,0,Friday,1,2,-0.32653061224489743,-2.9979999999999993,51.0,0.1642,1,14,15,Evening
162,2011-01-08,springer,2011,January,00:00:00,0,Saturday,0,2,-0.32653061224489743,-2.9979999999999993,51.0,0.1642,1,24,25,Evening
163,2011-01-08,springer,2011,January,01:00:00,0,Saturday,0,2,-0.32653061224489743,-2.0013999999999985,55.00000000000001,0.0896,1,15,16,Evening
164,2011-01-08,springer,2011,January,02:00:00,0,Saturday,0,2,-0.32653061224489743,-0.0015999999999998238,55.00000000000001,0.0,3,13,16,Evening
165,2011-01-08,springer,2011,January,03:00:00,0,Saturday,0,3,-0.32653061224489743,-2.9979999999999993,55.00000000000001,0.1642,0,7,7,Morning
166,2011-01-08,springer,2011,January,04:00:00,0,Saturday,0,3,-0.32653061224489743,-2.9979999999999993,55.00000000000001,0.1642,0,1,1,Morning
167,2011-01-08,springer,2011,January,05:00:00,0,Saturday,0,2,-1.2857142857142847,-4.997800000000002,74.0,0.1642,0,5,5,Morning
168,2011-01-08,springer,2011,January,06:00:00,0,Saturday,0,2,-1.2857142857142847,-4.997800000000002,74.0,0.1642,0,2,2,Morning
169,2011-01-08,springer,2011,January,07:00:00,0,Saturday,0,2,-1.2857142857142847,-4.001200000000001,74.0,0.1045,1,8,9,Morning
170,2011-01-08,springer,2011,January,08:00:00,0,Saturday,0,3,-1.2857142857142847,-4.001200000000001,93.0,0.1045,0,15,15,Morning
171,2011-01-08,springer,2011,January,09:00:00,0,Saturday,0,3,-1.2857142857142847,-4.001200000000001,93.0,0.1045,0,20,20,Morning
172,2011-01-08,springer,2011,January,10:00:00,0,Saturday,0,2,-0.32653061224489743,-2.9979999999999993,80.0,0.1642,5,56,61,Morning
173,2011-01-08,springer,2011,January,11:00:00,0,Saturday,0,2,0.6326530612244916,-4.001200000000001,69.0,0.3881,2,60,62,Day
174,2011-01-08,springer,2011,January,12:00:00,0,Saturday,0,2,0.6326530612244916,-4.001200000000001,59.0,0.3582,8,90,98,Day
175,2011-01-08,springer,2011,January,13:00:00,0,Saturday,0,1,0.6326530612244916,-4.001200000000001,44.0,0.3284,7,95,102,Day
176,2011-01-08,springer,2011,January,14:00:00,0,Saturday,0,1,0.6326530612244916,-4.997800000000002,32.0,0.4925,12,83,95,Day
177,2011-01-08,springer,2011,January,15:00:00,0,Saturday,0,1,0.6326530612244916,-4.997800000000002,32.0,0.4478,5,69,74,Day
178,2011-01-08,springer,2011,January,16:00:00,0,Saturday,0,1,-0.32653061224489743,-6.9976,28.999999999999996,0.4478,8,68,76,Afternoon
179,2011-01-08,springer,2011,January,17:00:00,0,Saturday,0,1,-1.2857142857142847,-8.0008,37.0,0.5522,5,64,69,Afternoon
180,2011-01-08,springer,2011,January,18:00:00,0,Saturday,0,1,-2.244897959183673,-8.0008,39.0,0.2985,3,52,55,Afternoon
181,2011-01-08,springer,2011,January,19:00:00,0,Saturday,0,1,-2.244897959183673,-8.0008,36.0,0.2537,4,26,30,Evening
182,2011-01-08,springer,2011,January,20:00:00,0,Saturday,0,1,-3.204081632653062,-8.0008,36.0,0.2537,0,28,28,Evening
183,2011-01-08,springer,2011,January,21:00:00,0,Saturday,0,1,-3.204081632653062,-8.997399999999999,39.0,0.3582,2,35,37,Evening
184,2011-01-08,springer,2011,January,22:00:00,0,Saturday,0,1,-3.204081632653062,-8.997399999999999,36.0,0.3881,1,33,34,Evening
185,2011-01-08,springer,2011,January,23:00:00,0,Saturday,0,1,-4.163265306122449,-12.000399999999999,39.0,0.4478,0,22,22,Evening
186,2011-01-09,springer,2011,January,00:00:00,0,Sunday,0,1,-4.163265306122449,-10.9972,42.0,0.3881,1,24,25,Evening
187,2011-01-09,springer,2011,January,01:00:00,0,Sunday,0,1,-4.163265306122449,-12.000399999999999,42.0,0.4627,0,12,12,Evening
188,2011-01-09,springer,2011,January,02:00:00,0,Sunday,0,1,-4.163265306122449,-12.000399999999999,46.0,0.4627,0,11,11,Evening
189,2011-01-09,springer,2011,January,03:00:00,0,Sunday,0,1,-4.163265306122449,-10.9972,46.0,0.4179,0,4,4,Morning
190,2011-01-09,springer,2011,January,04:00:00,0,Sunday,0,1,-5.122448979591837,-10.0006,53.0,0.194,0,1,1,Morning
191,2011-01-09,springer,2011,January,05:00:00,0,Sunday,0,1,-5.122448979591837,-10.0006,53.0,0.194,0,1,1,Morning
192,2011-01-09,springer,2011,January,06:00:00,0,Sunday,0,1,-4.163265306122449,-10.0006,49.0,0.2836,0,1,1,Morning
193,2011-01-09,springer,2011,January,07:00:00,0,Sunday,0,1,-5.122448979591837,-10.0006,53.0,0.194,1,5,6,Morning
194,2011-01-09,springer,2011,January,08:00:00,0,Sunday,0,1,-4.163265306122449,-10.0006,49.0,0.2836,0,10,10,Morning
195,2011-01-09,springer,2011,January,09:00:00,0,Sunday,0,1,-3.204081632653062,-10.9972,46.0,0.5224,0,19,19,Morning
